Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Embajadores;Centro;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Breakfast,Heating,Washer;25.0;;20.0;1;15;2;1125;30;60;90;365;11;2014-12-07;2016-10-24;98.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;0.39
Palacio;Centro;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Safety card,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;100.0;15.0;2;0;2;1125;1;1;1;39;27;2016-02-15;2017-04-03;89.0;9.0;9.0;9.0;10.0;9.0;9.0;moderate;1.93
Casco Histórico de Vallecas;Villa de Vallecas;Other;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Doorman,Gym,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;31.0;;5.0;1;0;1;2;0;0;0;0;0;;;;;;;;;;flexible;
Universidad;Centro;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;28.0;;10.0;1;0;6;1125;0;22;52;98;0;;;;;;;;;;strict;
Nueva España;Chamartín;Apartment;Entire home/apt;6;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Iron;68.0;150.0;;1;0;4;1125;0;0;1;11;2;2017-01-02;2017-01-08;70.0;8.0;6.0;7.0;8.0;7.0;7.0;moderate;0.62
Palacio;Centro;Apartment;Entire home/apt;8;1.5;4.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials;160.0;200.0;70.0;4;20;2;1125;0;17;47;318;4;2015-02-01;2015-06-01;85.0;9.0;10.0;6.0;9.0;9.0;9.0;strict;0.15
Cortes;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Washer,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;60.0;150.0;35.0;2;20;2;90;16;26;50;325;117;2011-04-19;2017-02-12;83.0;9.0;9.0;9.0;9.0;9.0;8.0;moderate;1.61
Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;59.0;;;2;0;3;60;7;26;52;327;138;2012-05-29;2017-03-23;93.0;10.0;10.0;9.0;10.0;10.0;9.0;strict;2.33
Goya;Salamanca;Other;Entire home/apt;3;2.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Elevator in building,Indoor fireplace,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;110.0;400.0;35.0;1;0;3;1125;18;48;78;88;2;2017-01-02;2017-01-20;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.62
Ventas;Ciudad Lineal;Loft;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;25.0;;;1;10;1;1125;0;24;54;329;13;2015-04-06;2016-07-18;97.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;0.53
